Transaction ID,Date,Customer ID,Customer Name,Age,Gender,Product ID,Product Name,Product Category,Unit Price,Quantity
TR-1,2024-01-01,2670,UVHriWMc,56,Male,2,UzXqnG,Electronics,969.7750009060019,1
TR-2,2024-01-02,5714,dgNSoWhi,40,Female,5,WCIyQD,Clothing,931.8577052410128,1
TR-3,2024-01-03,9665,isdrYmhR,21,Male,10,xpCTcs,Books,634.6368362105534,1
TR-4,2024-01-04,9356,tuqXzAqv,19,Male,6,SKRIJv,Electronics,461.3726293349175,4
TR-5,2024-01-05,1674,ZUnfTLDt,61,Female,5,ydPZZw,Books,443.1871205137733,2
TR-6,2024-01-06,8172,OlgjEJMH,40,Male,1,iEyFgE,Clothing,507.6641285901089,2
TR-7,2024-01-07,8239,mFZnqWUo,55,Male,4,vqPYNA,Clothing,790.4384181564266,3
TR-8,2024-01-08,1729,pEbDmoZk,62,Female,7,YLqlGo,Clothing,623.1886041117965,3
TR-9,2024-01-09,2776,sJwaLHIU,37,Male,8,XIeCRN,Books,678.8401905792712,1
TR-10,2024-01-10,9223,rwlDqazD,59,Female,4,xUKXVL,Electronics,927.1654698507364,1
TR-11,2024-01-11,1682,oiwIisej,49,Female,1,ghBlCJ,Electronics,833.6931339992581,4
TR-12,2024-01-12,1797,okzzwmGm,28,Male,3,asoyra,Clothing,544.6277519379667,4
TR-13,2024-01-13,8871,MKRqadRS,29,Female,1,oPyGRp,Books,23.044566960315507,3
TR-14,2024-01-14,6599,mMxjsWsm,43,Female,8,sUuntE,Clothing,486.5816433556332,4
TR-15,2024-01-15,3330,RqsnYmmB,28,Male,8,zpqvVl,Clothing,540.1040611134654,3
TR-16,2024-01-16,9731,rsjcgnzs,69,Female,9,AmrgLa,Clothing,369.5327023751876,5
TR-17,2024-01-17,9882,ZUdGnUSP,45,Female,6,JIALws,Electronics,69.14285351636471,1
TR-18,2024-01-18,1583,utbGjMqd,19,Male,8,HFXGrq,Clothing,513.8216990837877,3
TR-19,2024-01-19,8337,QOKLZryC,57,Male,5,ICOesU,Electronics,362.58171125072084,4
TR-20,2024-01-20,9875,PKPPuXUs,65,Female,4,NpXPIy,Clothing,414.6816626350785,3
TR-21,2024-01-21,7274,DJgCwOEU,69,Male,7,SwhHJW,Electronics,735.1538422776763,1
TR-22,2024-01-22,3634,hEiUlNqw,35,Female,4,knEMse,Clothing,521.4365150582671,2
TR-23,2024-01-23,3447,EtucCuYW,32,Male,10,qxGGHR,Electronics,456.9594435921281,5
